真实标签	预测标签	置信度	文件路径
American Bulldog	Staffordshire Bull Terrier	0.7283	american_bulldog_15.jpg
Chihuahua	Miniature Pinscher	0.2454	chihuahua_166.jpg
American Pit Bull Terrier	Miniature Pinscher	0.1860	american_pit_bull_terrier_167.jpg
American Pit Bull Terrier	German Shorthaired	0.0964	american_pit_bull_terrier_190.jpg
German Shorthaired	American Bulldog	0.3007	german_shorthaired_159.jpg
Boxer	Miniature Pinscher	0.5535	boxer_145.jpg
Ragdoll	Birman	0.5415	Ragdoll_228.jpg
Maine Coon	Persian	0.2611	Maine_Coon_30.jpg
English Setter	American Pit Bull Terrier	0.2137	english_setter_8.jpg
American Pit Bull Terrier	Staffordshire Bull Terrier	0.3060	american_pit_bull_terrier_32.jpg
Scottish Terrier	Havanese	0.3609	scottish_terrier_10.jpg
Havanese	Scottish Terrier	0.5013	havanese_144.jpg
Chihuahua	Miniature Pinscher	0.9039	chihuahua_159.jpg
American Bulldog	American Pit Bull Terrier	0.7850	american_bulldog_75.jpg
Keeshond	Leonberger	0.3804	keeshond_134.jpg
American Bulldog	Beagle	0.9283	american_bulldog_68.jpg
Staffordshire Bull Terrier	American Pit Bull Terrier	0.7998	staffordshire_bull_terrier_27.jpg
Staffordshire Bull Terrier	Newfoundland	0.2233	staffordshire_bull_terrier_38.jpg
Staffordshire Bull Terrier	Samoyed	0.3222	staffordshire_bull_terrier_29.jpg
Staffordshire Bull Terrier	Boxer	0.3815	staffordshire_bull_terrier_85.jpg
German Shorthaired	American Pit Bull Terrier	0.3096	german_shorthaired_119.jpg
Abyssinian	Persian	0.3086	Abyssinian_193.jpg
Bengal	Egyptian Mau	0.8674	Bengal_189.jpg
Staffordshire Bull Terrier	Boxer	0.4057	staffordshire_bull_terrier_108.jpg
Chihuahua	Miniature Pinscher	0.2868	chihuahua_58.jpg
Scottish Terrier	Samoyed	0.4158	scottish_terrier_92.jpg
Shiba Inu	Abyssinian	0.2234	shiba_inu_187.jpg
Shiba Inu	German Shorthaired	0.3847	shiba_inu_152.jpg
American Bulldog	Staffordshire Bull Terrier	0.4714	american_bulldog_93.jpg
Keeshond	Pomeranian	0.5555	keeshond_195.jpg
Chihuahua	Yorkshire Terrier	0.3723	chihuahua_180.jpg
Abyssinian	Maine Coon	0.2946	Abyssinian_94.jpg
Chihuahua	Miniature Pinscher	0.7739	chihuahua_111.jpg
American Bulldog	Boxer	0.4824	american_bulldog_35.jpg
Maine Coon	Bengal	0.7958	Maine_Coon_242.jpg
Egyptian Mau	Bengal	0.3829	Egyptian_Mau_132.jpg
Chihuahua	Shiba Inu	0.6131	chihuahua_18.jpg
Ragdoll	Persian	0.4879	Ragdoll_208.jpg
Beagle	Basset Hound	0.2794	beagle_137.jpg
Egyptian Mau	Bengal	0.4875	Egyptian_Mau_172.jpg
Chihuahua	Miniature Pinscher	0.3834	chihuahua_175.jpg
Ragdoll	Siamese	0.5059	Ragdoll_245.jpg
Basset Hound	German Shorthaired	0.3328	basset_hound_92.jpg
Russian Blue	British Shorthair	0.3083	Russian_Blue_19.jpg
Havanese	Scottish Terrier	0.4391	havanese_110.jpg
Keeshond	Great Pyrenees	0.2602	keeshond_179.jpg
Samoyed	Pomeranian	0.1608	samoyed_147.jpg
