真实标签	预测标签	置信度	文件路径
Scottish Terrier	Havanese	0.7899	scottish_terrier_10.jpg
Havanese	Scottish Terrier	0.7045	havanese_144.jpg
Chihuahua	Miniature Pinscher	0.9827	chihuahua_159.jpg
American Bulldog	German Shorthaired	0.4429	american_bulldog_75.jpg
Keeshond	Leonberger	0.3666	keeshond_134.jpg
American Bulldog	Basset Hound	0.3670	american_bulldog_68.jpg
Staffordshire Bull Terrier	American Pit Bull Terrier	0.7311	staffordshire_bull_terrier_27.jpg
British Shorthair	Russian Blue	0.5611	British_Shorthair_156.jpg
Boxer	Basset Hound	0.3061	boxer_161.jpg
Wheaten Terrier	Havanese	0.9459	wheaten_terrier_189.jpg
Staffordshire Bull Terrier	American Bulldog	0.2102	staffordshire_bull_terrier_29.jpg
Staffordshire Bull Terrier	Boxer	0.9551	staffordshire_bull_terrier_85.jpg
American Pit Bull Terrier	Staffordshire Bull Terrier	0.7633	american_pit_bull_terrier_11.jpg
Birman	Siamese	0.8206	Birman_36.jpg
German Shorthaired	American Pit Bull Terrier	0.3488	german_shorthaired_119.jpg
Great Pyrenees	Pomeranian	0.6691	great_pyrenees_7.jpg
Abyssinian	Chihuahua	0.1829	Abyssinian_193.jpg
English Setter	English Cocker Spaniel	0.6598	english_setter_165.jpg
Bengal	Egyptian Mau	0.9907	Bengal_189.jpg
Staffordshire Bull Terrier	Boxer	0.6445	staffordshire_bull_terrier_108.jpg
British Shorthair	Russian Blue	0.4706	British_Shorthair_61.jpg
Chihuahua	Miniature Pinscher	0.5553	chihuahua_58.jpg
Scottish Terrier	Shiba Inu	0.1977	scottish_terrier_92.jpg
American Pit Bull Terrier	Staffordshire Bull Terrier	0.3551	american_pit_bull_terrier_191.jpg
Yorkshire Terrier	Scottish Terrier	0.6091	yorkshire_terrier_5.jpg
Abyssinian	Russian Blue	0.2444	Abyssinian_33.jpg
Shiba Inu	Miniature Pinscher	0.5112	shiba_inu_152.jpg
Persian	Ragdoll	0.4813	Persian_143.jpg
Keeshond	Pomeranian	0.7484	keeshond_195.jpg
Staffordshire Bull Terrier	American Pit Bull Terrier	0.4249	staffordshire_bull_terrier_97.jpg
Chihuahua	Yorkshire Terrier	0.8623	chihuahua_180.jpg
Abyssinian	Maine Coon	0.4067	Abyssinian_94.jpg
American Pit Bull Terrier	Beagle	0.4317	american_pit_bull_terrier_95.jpg
Basset Hound	Beagle	0.7562	basset_hound_157.jpg
British Shorthair	Russian Blue	0.5936	British_Shorthair_223.jpg
British Shorthair	Russian Blue	0.5229	British_Shorthair_56.jpg
Maine Coon	Bengal	0.6597	Maine_Coon_242.jpg
Beagle	Shiba Inu	0.9804	beagle_152.jpg
Saint Bernard	English Setter	0.5347	saint_bernard_42.jpg
Chihuahua	Shiba Inu	0.6513	chihuahua_18.jpg
Scottish Terrier	Havanese	0.5879	scottish_terrier_184.jpg
Ragdoll	Birman	0.5189	Ragdoll_208.jpg
Beagle	Basset Hound	0.2131	beagle_137.jpg
English Cocker Spaniel	Havanese	0.8083	english_cocker_spaniel_195.jpg
Ragdoll	Siamese	0.9740	Ragdoll_245.jpg
Basset Hound	German Shorthaired	0.3023	basset_hound_92.jpg
American Pit Bull Terrier	German Shorthaired	0.5449	american_pit_bull_terrier_4.jpg
American Pit Bull Terrier	Staffordshire Bull Terrier	0.4268	american_pit_bull_terrier_54.jpg
Miniature Pinscher	Chihuahua	0.5315	miniature_pinscher_148.jpg
Leonberger	Boxer	0.5258	leonberger_11.jpg
Samoyed	Pomeranian	0.3397	samoyed_147.jpg
